altmetric_id,doi,source_type,title,url,posted_on,summary,first_order_doi
605598,10.1128/JVI.75.3.1205-1210.2001,patent,Recombinant poxvirus,https://app.dimensions.ai/details/patent/US-7384643-B2,2008-06-10T00:00:00+00:00,"Use for novel chemokine-binding protein designated A41L, and chemokine-binding fragments thereof, for the treatment of conditions such as inflammation. The A41L protein binds to chemokines in the CXC group.",
605598,10.1128/JVI.75.3.1205-1210.2001,patent,Nucleic acid molecules and polypeptides for immune modulation,https://app.dimensions.ai/details/patent/US-6894155-B2,2005-05-17T00:00:00+00:00,"The invention provides gp38 polypeptides, which play a role in immunomodulation, nucleic acid molecules encoding these polypeptides, and therapeutic and diagnostic methods employing these polypeptides and nucleic acid molecules. The invention also provi...",
605598,10.1128/JVI.75.3.1205-1210.2001,patent,Nucleic acid molecules and polypeptides for immune modulation,https://app.dimensions.ai/details/patent/US-6894155-B2,2005-05-17T00:00:00+00:00,"The invention provides gp38 polypeptides, which play a role in immunomodulation, nucleic acid molecules encoding these polypeptides, and therapeutic and diagnostic methods employing these polypeptides and nucleic acid molecules. The invention also provi...",
605598,10.1128/JVI.75.3.1205-1210.2001,patent,Nucleic acid molecules and polypeptides for immune modulation,https://app.dimensions.ai/details/patent/US-6894155-B2,2005-05-17T00:00:00+00:00,"The invention provides gp38 polypeptides, which play a role in immunomodulation, nucleic acid molecules encoding these polypeptides, and therapeutic and diagnostic methods employing these polypeptides and nucleic acid molecules. The invention also provi...",
605598,10.1128/JVI.75.3.1205-1210.2001,patent,Immunomodulatory protein and useful embodiments thereof,https://app.dimensions.ai/details/patent/US-7101559-B2,2006-09-05T00:00:00+00:00,The invention generally features the use of Yaba monkey tumor virus nucleic acid molecules and polypeptides for the treatment or prevention of immune-related diseases.,
605598,10.1128/JVI.75.3.1205-1210.2001,patent,Immunomodulatory protein and useful embodiments thereof,https://app.dimensions.ai/details/patent/US-7101559-B2,2006-09-05T00:00:00+00:00,The invention generally features the use of Yaba monkey tumor virus nucleic acid molecules and polypeptides for the treatment or prevention of immune-related diseases.,
605598,10.1128/JVI.75.3.1205-1210.2001,patent,Immunomodulatory protein and useful embodiments thereof,https://app.dimensions.ai/details/patent/US-7101559-B2,2006-09-05T00:00:00+00:00,The invention generally features the use of Yaba monkey tumor virus nucleic acid molecules and polypeptides for the treatment or prevention of immune-related diseases.,
605598,10.1128/JVI.75.3.1205-1210.2001,patent,Nucleic acid molecules and polypeptides for immune modulation,https://app.dimensions.ai/details/patent/US-7585507-B2,2009-09-08T00:00:00+00:00,"The invention provides gp38 polypeptides, which play a role in immunomodulation, nucleic acid molecules encoding these polypeptides, and therapeutic and diagnostic methods employing these polypeptides and nucleic acid molecules. The invention also provi...",
605598,10.1128/JVI.75.3.1205-1210.2001,patent,Nucleic acid molecules and polypeptides for immune modulation,https://app.dimensions.ai/details/patent/US-7585507-B2,2009-09-08T00:00:00+00:00,"The invention provides gp38 polypeptides, which play a role in immunomodulation, nucleic acid molecules encoding these polypeptides, and therapeutic and diagnostic methods employing these polypeptides and nucleic acid molecules. The invention also provi...",
605598,10.1128/JVI.75.3.1205-1210.2001,patent,Nucleic acid molecules and polypeptides for immune modulation,https://app.dimensions.ai/details/patent/US-7585507-B2,2009-09-08T00:00:00+00:00,"The invention provides gp38 polypeptides, which play a role in immunomodulation, nucleic acid molecules encoding these polypeptides, and therapeutic and diagnostic methods employing these polypeptides and nucleic acid molecules. The invention also provi...",
605598,10.1128/JVI.75.3.1205-1210.2001,patent,Immunomodulatory protein and useful embodiments thereof,https://app.dimensions.ai/details/patent/US-7718368-B2,2010-05-18T00:00:00+00:00,The invention generally features the use of Yaba monkey tumor virus nucleic acid molecules and polypeptides for the treatment or prevention of immunoinflammatory disorders.,
605598,10.1128/JVI.75.3.1205-1210.2001,patent,Immunomodulatory protein and useful embodiments thereof,https://app.dimensions.ai/details/patent/US-7718368-B2,2010-05-18T00:00:00+00:00,The invention generally features the use of Yaba monkey tumor virus nucleic acid molecules and polypeptides for the treatment or prevention of immunoinflammatory disorders.,
605598,10.1128/JVI.75.3.1205-1210.2001,patent,Immunomodulatory protein and useful embodiments thereof,https://app.dimensions.ai/details/patent/US-7718368-B2,2010-05-18T00:00:00+00:00,The invention generally features the use of Yaba monkey tumor virus nucleic acid molecules and polypeptides for the treatment or prevention of immunoinflammatory disorders.,
605598,10.1128/JVI.75.3.1205-1210.2001,patent,"Compounds, compositions and methods for treatment and prevention of orthopoxvirus infections and associated diseases",https://app.dimensions.ai/details/patent/US-8530509-B2,2013-09-10T00:00:00+00:00,"Methods of using di, tri, and tetracyclic acylhydrazide derivatives and analogs, as well as pharmaceutical compositions containing the same, for the treatment or prophylaxis of viral infections and diseases associated therewith, particularly those viral...",
605598,10.1128/JVI.75.3.1205-1210.2001,patent,"Compounds, compositions and methods for treatment and prevention of orthopoxvirus infections and associated diseases",https://app.dimensions.ai/details/patent/US-8530509-B2,2013-09-10T00:00:00+00:00,"Methods of using di, tri, and tetracyclic acylhydrazide derivatives and analogs, as well as pharmaceutical compositions containing the same, for the treatment or prophylaxis of viral infections and diseases associated therewith, particularly those viral...",
605598,10.1128/JVI.75.3.1205-1210.2001,patent,"Compounds, compositions and methods for treatment and prevention of orthopoxvirus infections and associated diseases",https://app.dimensions.ai/details/patent/US-8530509-B2,2013-09-10T00:00:00+00:00,"Methods of using di, tri, and tetracyclic acylhydrazide derivatives and analogs, as well as pharmaceutical compositions containing the same, for the treatment or prophylaxis of viral infections and diseases associated therewith, particularly those viral...",
605598,10.1128/JVI.75.3.1205-1210.2001,patent,"Compounds, compositions and methods for treatment and prevention of orthopoxvirus infections and associated diseases",https://app.dimensions.ai/details/patent/US-8530509-B2,2013-09-10T00:00:00+00:00,"Methods of using di, tri, and tetracyclic acylhydrazide derivatives and analogs, as well as pharmaceutical compositions containing the same, for the treatment or prophylaxis of viral infections and diseases associated therewith, particularly those viral...",
605598,10.1128/JVI.75.3.1205-1210.2001,patent,"Compounds, compositions, and methods for treatment and prevention of orthopoxvirus infections and associated diseases",https://app.dimensions.ai/details/patent/US-7737168-B2,2010-06-15T00:00:00+00:00,"Methods of using di, tri, and tetracyclic acylhydrazide derivatives and analogs, as well as pharmaceutical compositions containing the same, for the treatment or prophylaxis of viral infections and diseases associated therewith, particularly those viral...",
