altmetric_id,core_doi,document_type,title,unique_identifier,posted_on,summary,lang_checked
803051,10.1126/science.1213362,news,A ferret’s sneeze is helping monitor the risk of a bird flu pandemic,http://ct.moreover.com/?a=54536262167&p=1pl&v=1&x=wvtjm3d1iihb1sqzaiqkxq,14/08/2024,"In a secure World Health Organisation lab, somewhere in the world, is a sick ferret.",True
803051,10.1126/science.1213362,news,Veteran NIH Infectious Disease Researcher Calls For End Of Dangerous Virus Studies,http://ct.moreover.com/?a=56670392524&p=1pl&v=1&x=onnkkqtkhyo8wntqzcwkgg,06/05/2025,"Via The DisInformation Chronicle, Today’s guest essay is by a infectious disease researcher at the National institutes of Health who wishes to remain anonymous to guard against retribution.",True
803051,10.1126/science.1213362,news,Genetic diversity of H9N2 avian influenza viruses in poultry across China and implications for zoonotic transmission – RawNews,https://rawnews.com/genetic-diversity-of-h9n2-avian-influenza-viruses-in-poultry-across-china-and-implications-for-zoonotic-transmission,03/06/2025,"Bi, Y. et al. CASCIRE surveillance network and work on avian influenza viruses.",True
803051,10.1126/science.1213362,news,Gain-of-function research is more than just tweaking risky viruses – it’s a routine and essential tool in all biology research,http://ct.moreover.com/?a=57241278236&p=1pl&v=1&x=q1xlprogqss6oohffo_ncw,17/07/2025,"By Seema Lakdawala, University of Pittsburgh (The Conversation is an independent and nonprofit source of news, analysis and commentary from academic experts.) (THE CONVERSATION) In May 2025, President Donald Trump signed an executive order to...",True
803051,10.1126/science.1213362,news,Gain-of-function research is more than just tweaking risky viruses – it’s a routine and essential tool in all biology research,http://ct.moreover.com/?a=57241283694&p=1pl&v=1&x=dky9qaf5nupamfha3xgmla,17/07/2025,"(The Conversation is an independent and nonprofit source of news, analysis and commentary from academic experts.) Seema Lakdawala, University of Pittsburgh and Anice Lowen, Emory University (THE CONVERSATION) In May 2025, President Donald Trump...",True
803051,10.1126/science.1213362,news,Gain-of-function research is more than just tweaking risky viruses – it’s a routine and essential tool in all biology research,http://ct.moreover.com/?a=57241289971&p=1pl&v=1&x=wr45r9igwhmj_x7ssk3aqa,17/07/2025,"(The Conversation is an independent and nonprofit source of news, analysis and commentary from academic experts.) Seema Lakdawala, University of Pittsburgh and Anice Lowen, Emory University (THE CONVERSATION) In May 2025, President Donald Trump...",True
803051,10.1126/science.1213362,news,Gain-of-function research is more than just tweaking risky viruses – it’s a routine and essential tool in all biology research,http://ct.moreover.com/?a=57241297072&p=1pl&v=1&x=vpdkyxto8ifodaitdfeylq,17/07/2025,"(The Conversation is an independent and nonprofit source of news, analysis and commentary from academic experts.) Seema Lakdawala, University of Pittsburgh and Anice Lowen, Emory University (THE CONVERSATION) In May 2025, President Donald Trump...",True
803051,10.1126/science.1213362,news,Gain-of-function research is more than just tweaking risky viruses – it’s a routine and essential tool in all biology research,http://ct.moreover.com/?a=57241311426&p=1pl&v=1&x=7pz2wbadbwuhqevhrhhvtg,17/07/2025,"(The Conversation is an independent and nonprofit source of news, analysis and commentary from academic experts.) (THE CONVERSATION) In May 2025, President Donald Trump signed an executive order to restrict research on viruses and pathogens called...",True
803051,10.1126/science.1213362,news,Gain-of-function research is more than just tweaking risky viruses – it’s a routine and essential tool in all biology research,http://ct.moreover.com/?a=57241316291&p=1pl&v=1&x=gogz64i_qay8hoa3vxu6ta,17/07/2025,"(The Conversation is an independent and nonprofit source of news, analysis and commentary from academic experts.) (THE CONVERSATION) In May 2025, President Donald Trump signed an executive order to restrict research on viruses and pathogens called...",True
803051,10.1126/science.1213362,news,Gain-of-function research is more than just tweaking risky viruses – it’s a routine and essential tool in all biology research,http://ct.moreover.com/?a=57241324170&p=1pl&v=1&x=ttqctqj3swcvn-lgjbz1uw,17/07/2025,"(The Conversation is an independent and nonprofit source of news, analysis and commentary from academic experts.) Seema Lakdawala, University of Pittsburgh and Anice Lowen, Emory University (THE CONVERSATION) In May 2025, President Donald Trump...",True
803051,10.1126/science.1213362,news,Gain-of-function research is more than just tweaking risky viruses – it’s a routine and essential tool in all biology research,http://ct.moreover.com/?a=57241643072&p=1pl&v=1&x=nrztjipo3pmbkuczgfjpva,17/07/2025,"(The Conversation is an independent and nonprofit source of news, analysis and commentary from academic experts.) Seema Lakdawala, University of Pittsburgh and Anice Lowen, Emory University (THE CONVERSATION) In May 2025, President Donald Trump...",True
803051,10.1126/science.1213362,policy,"Perspectives on Research with H5N1 Avian Influenza: Scientific Inquiry, Communication, Controversy: Summary of a Workshop",https://www.nap.edu/download/18255,01/01/2013,,True
803051,10.1126/science.1213362,policy,"Gene Drives on the Horizon: Advancing Science, Navigating Uncertainty, and Aligning Research with Public Values",https://www.nap.edu/download/23405,01/01/2016,,True
