unique_identifier,title,document_type,published_on,document_url,source_specific_tags,top_topics,languages,document_theme,first_order_doi
govdeptsfrance-22573846075f110a893bf1a003e42eb1,Opinion of the Committee for Monitoring and Anticipation of Health Risks,Publication,2022-11-27,https://www.enseignementsup-recherche.gouv.fr/sites/default/files/2022-11/avis-du-covars-sur-le-monkeypox---22-novembre-2022-25465.pdf,,"Mpox, Infection, Vaccination",fre,"health>diseases and conditions>illness, health>diseases and conditions, health",10.1056/nejmoa1817307
who-2efb0765f2fafdf63962e5ff629329b0,"Vaccines and immunization for monkeypox: interim guidance, 16 November 2022",Publication,2022-11-16,https://apps.who.int/iris/handle/10665/364527,,"Isolation (health care), Immunology, Health sciences",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health, health>diseases and conditions>illness",10.1056/nejmoa1817307
who-70c83c4a93d3ce3b88198b896dcfa0df,"Background document for the SAGE October 2022 session on monkeypox vaccines: background document to the Vaccines and immunization for monkeypox interim guidance, 16 November 2022",Publication,2022-11-16,https://apps.who.int/iris/handle/10665/364528,,"Monkeypox, Smallpox vaccine, ACAM2000",eng,"health, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease",10.1056/nejmoa1817307
governmentofargentina-bfecabbeca863aab71c57c27d4371e41,Vaccine for the prevention of monkeypox. ANNA AE vaccines current recommendations,Publication,2022-09-30,https://www.argentina.gob.ar/sites/default/files/2022/01/2022_sept_conain_viruela.pdf,,"Vaccinia, Vaccine, Vaccination",spa,"science and technology, health>diseases and conditions>communicable disease, science and technology>natural science, health>diseases and conditions, health, health>diseases and conditions>communicable disease>virus disease, science and technology>natural science>biology, health>diseases and conditions>illness",10.1056/nejmoa1817307
phoca-e55040e9164206ac0d457547261c6f64,Monkeypox Vaccine,Clinical guidance,2022-09-28,https://www.publichealthontario.ca/-/media/Documents/M/2022/monkeypox-vaccine.pdf?rev=943f7313854a44d4a64a242e87d7a745&la=fr,,"Public health, Smallpox vaccine, Modified vaccinia Ankara",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health",10.1056/nejmoa1817307
federalpublicservicesbe-1238526393a12084c617cd4cf6fe6a0b,Superior Health Council,Publication,2022-09-08,https://www.health.belgium.be/sites/default/files/uploads/fields/fpshealth_theme_file/20220907_shc_9727_monkeypox_vaccination_reviewed_vweb.pdf,,"Vaccine, Smallpox vaccine, Vaccinia",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health, health>diseases and conditions>communicable disease>virus disease",10.1056/nejmoa1817307
adminch-5c2ca165cbd427c3a673762e99e735b2,Analytical framework and recommendations for vaccination against monkeypox vaccine MVA-BN ® (Modified Vaccinia Ankara from Bavarian Nordic) (as of 01.09.2022),Publication,2022-09-01,https://www.bag.admin.ch/dam/bag/de/dokumente/kuv-leistungen/referenzdokumentekvvv/art12a_klv_impfempfehlung_affenpocken_010922.pdf.download.pdf/art12a_klv_impfempfehlung_affenpocken_010922.pdf,,"Monkeypox, Vaccination, Smallpox vaccine",ger,"health, health>diseases and conditions, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health>health treatment>preventative medicine>vaccines, health>health treatment, health>health treatment>preventative medicine",10.1056/nejmoa1817307
adminch-ab6a9663f1e84aef47e71036b7bb68b4,Monkeypox: Analytical framework and vaccination recommendations MVA-BN ® vaccine (Modified Vaccinia Ankara from Bavarian Nordic) (Status as of 01.09.2022),Publication,2022-09-01,https://www.bag.admin.ch/dam/bag/fr/dokumente/kuv-leistungen/referenzdokumentekvvv/art12a_klv_impfempfehlung_affenpocken_010922.pdf.download.pdf/art12a_opas_recommandation_vaccination_varioledusinge_010922.pdf,,"Vaccination, Monkeypox, Smallpox",fre,"health, health>diseases and conditions, health>diseases and conditions>communicable disease, health>diseases and conditions>illness, health>diseases and conditions>communicable disease>virus disease",10.1056/nejmoa1817307
who-b1e40d8b0d8e92310149f0bd0ad057a9,"Vaccines and immunization for monkeypox: interim guidance, 24 August 2022",Publication,2022-08-24,https://apps.who.int/iris/handle/10665/361894,,"Monkeypox, Smallpox vaccine, Vaccine",eng,"health>diseases and conditions>communicable disease, health>diseases and conditions, health>diseases and conditions>illness, health, health>diseases and conditions>communicable disease>virus disease",10.1056/nejmoa1817307
governmentofargentina-099b039f920b1795fe37cf6a569a96f4,Vaccine for the prevention of monkeypox. ANNA AER Cd ASIA NES Vaccines,Publication,2022-08-04,https://www.argentina.gob.ar/sites/default/files/vacuna-para-prevencion-viruela-simica-conain-03-08-2022.pdf,,"Mpox, Smallpox, Vaccinia",spa,"health>diseases and conditions>communicable disease, health>diseases and conditions, health, health>diseases and conditions>communicable disease>virus disease, health>diseases and conditions>illness",10.1056/nejmoa1817307
